Kfintech Trxn Type,Kfintech Transaction Type definition,O_DESC,REF,TYPE,REF2,CAMS Feed Where to account this ?
NEWD,New Purchase Deletion,PURCHASE,INFLOW-LUMPSUM,L,NEW,NEWPUR
NEWR,New Purchase Rejection,PURCHASE,INFLOW-LUMPSUM,L,NEW,NEWPUR
NEWRD,New Purchase Rejection Deletion,PURCHASE,INFLOW-LUMPSUM,L,NEW,NEWPUR
FUL,Redemption,REDEMPTION,OUTFLOW-REDEMPTION,O,RED,RED
FULD,Full Redemption Deletion,REDEMPTION,OUTFLOW-REDEMPTION,O,RED,RED
FULR,Full Redemption Rejection,REDEMPTION,OUTFLOW-REDEMPTION,O,RED,RED
FULRD,Full Redemption Rejection Deletion,REDEMPTION,OUTFLOW-REDEMPTION,O,RED,RED
RED,Redemption,REDEMPTION,OUTFLOW-REDEMPTION,O,RED,RED
REDD,Partial Redemption Deletion,REDEMPTION,OUTFLOW-REDEMPTION,O,RED,RED
REDR,Partial Redemption Rejection,REDEMPTION,OUTFLOW-REDEMPTION,O,RED,RED
REDRD,Partial Redemption Rejection Deletion,REDEMPTION,OUTFLOW-REDEMPTION,O,RED,RED
SIN,Systematic Investment,SIP,SIP FLOWS,S,SIP,SIP
SIND,Systematic Investment Deletion,SIP,SIP FLOWS,S,SIP,SIP
SINI,SIP Without Cheque,SIP,SIP FLOWS,S,SIP,SIP
SINR,Systematic Investment Rejection,SIP,SIP FLOWS,S,SIP,SIP
SINRD,Systematic Investment Rejection Deletion,SIP,SIP FLOWS,S,SIP,SIP
SIPN,New Purchase with SIP,SIP,SIP FLOWS,S,SIPN,SIP
SIPNE,Existing Folio with SIP,SIP,SIP FLOWS,S,SIPN,SIP
SIPNER,Existing Folio with SIP Rejection,SIP,SIP FLOWS,S,SIPN,SIP
SIPNR,New Purchase with SIP Rejection,SIP,SIP FLOWS,S,SIPN,SIP
STPA,S T P In,STPIN,INFLOW-LUMPSUM,S,STPIN,STPIN
STPAD,S T P In Deletion,STPIN,INFLOW-LUMPSUM,S,STPIN,STPIN
STPAR,S T P In Additional Rejection,STPIN,INFLOW-LUMPSUM,S,STPIN,STPIN
STPARD,S T P In Additional Rejection Deletion,STPIN,INFLOW-LUMPSUM,S,STPIN,STPIN
STPI,Systematic Switch Plan In,STPIN,INFLOW-LUMPSUM,S,STPIN,STPIN
STPN,S T P In,STPIN,INFLOW-LUMPSUM,S,STPIN,STPIN
STPO,S T P Out,STPOUT,OUTFLOW-SWITCHOUT,O,OUTSTP,OUTSTP
STPOD,S T P Out Deletion,STPOUT,OUTFLOW-SWITCHOUT,O,OUTSTP,OUTSTP
STPOR,Systematic Switch Plan Out Rejection,STPOUT,OUTFLOW-SWITCHOUT,O,OUTSTP,OUTSTP
STPORD,Systematic Switch Plan Out Rejection Del,STPOUT,OUTFLOW-SWITCHOUT,O,OUTSTP,OUTSTP
LTIA,Lateral Shift In,Switch In,INFLOW-LUMPSUM,L,SWIN,SWIN
LTIAD,Lateral Shift In Additional Deletion,Switch In,INFLOW-LUMPSUM,L,SWIN,SWIN
LTIAR,Lateral Shift In Additional Rejection,Switch In,INFLOW-LUMPSUM,L,SWIN,SWIN
LTIARD,Lateral Shift In Additional Rejection De,Switch In,INFLOW-LUMPSUM,L,SWIN,SWIN
LTIN,Lateral Shift In,Switch In,INFLOW-LUMPSUM,L,SWIN,SWIN
LTIND,Lateral Shift In New Deletion,Switch In,INFLOW-LUMPSUM,L,SWIN,SWIN
LTINR,Lateral Shift In New Rejection,Switch In,INFLOW-LUMPSUM,L,SWIN,SWIN
